,Symbol,Company Name
152,GUJGASLTD,Gujarat Gas Limited
153,LUPIN,Lupin Limited
154,HINDPETRO,Hindustan Petroleum Corporation Limited
155,STARHEALTH,Star Health and Allied Insurance Company Limited
156,MANYAVAR,Vedant Fashions Limited
157,PETRONET,Petronet LNG Limited
158,OBEROIRLTY,Oberoi Realty Limited
159,BIOCON,Biocon Limited
160,GICRE,General Insurance Corporation of India
161,SUPREMEIND,Supreme Industries Limited
162,RECLTD,REC Limited
163,APLAPOLLO,APL Apollo Tubes Limited
164,UNOMINDA,UNO Minda Limited
165,PERSISTENT,Persistent Systems Limited
166,FEDERALBNK,The Federal Bank  Limited
167,LINDEINDIA,Linde India Limited
168,M&MFIN,Mahindra & Mahindra Financial Services Limited
169,IGL,Indraprastha Gas Limited
170,ESCORTS,Escorts Kubota Limited
171,CENTRALBK,Central Bank of India
172,BHEL,Bharat Heavy Electricals Limited
173,ABFRL,Aditya Birla Fashion and Retail Limited
174,DEEPAKNTR,Deepak Nitrite Limited
175,VOLTAS,Voltas Limited
176,OFSS,Oracle Financial Services Software Limited
177,COROMANDEL,Coromandel International Limited
178,GLAND,Gland Pharma Limited
179,MSUMI,Motherson Sumi Wiring India Limited
180,AUROPHARMA,Aurobindo Pharma Limited
181,SUNDARMFIN,Sundaram Finance Limited
182,PHOENIXLTD,The Phoenix Mills Limited
183,IDEA,Vodafone Idea Limited
184,3MINDIA,3M India Limited
185,SONACOMS,Sona BLW Precision Forgings Limited
186,ATUL,Atul Limited
187,SUMICHEM,Sumitomo Chemical India Limited
188,AIAENG,AIA Engineering Limited
189,FACT,Fertilizers and Chemicals Travancore Limited
190,DELHIVERY,Delhivery Limited
191,METROBRAND,Metro Brands Limited
192,GMRINFRA,GMR Airports Infrastructure Limited
193,TATACHEM,Tata Chemicals Limited
194,COFORGE,Coforge Limited
195,KANSAINER,Kansai Nerolac Paints Limited
196,TORNTPOWER,Torrent Power Limited
197,POONAWALLA,Poonawalla Fincorp Limited
198,SYNGENE,Syngene International Limited
199,THERMAX,Thermax Limited
200,MFSL,Max Financial Services Limited
201,TIMKEN,Timken India Limited
202,DIXON,Dixon Technologies (India) Limited
203,ZEEL,Zee Entertainment Enterprises Limited
204,PSB,Punjab & Sind Bank
205,LICHSGFIN,LIC Housing Finance Limited
206,RELAXO,Relaxo Footwears Limited
207,OIL,Oil India Limited
208,JKCEMENT,JK Cement Limited
209,CRISIL,CRISIL Limited
210,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
211,SKFINDIA,SKF India Limited
212,AARTIIND,Aarti Industries Limited
213,DEVYANI,Devyani International Limited
214,L&TFH,L&T Finance Holdings Limited
215,RAJESHEXPO,Rajesh Exports Limited
216,FORTIS,Fortis Healthcare Limited
217,CROMPTON,Crompton Greaves Consumer Electricals Limited
218,IPCALAB,IPCA Laboratories Limited
219,BATAINDIA,Bata India Limited
220,NIACL,The New India Assurance Company Limited
221,APOLLOTYRE,Apollo Tyres Limited
222,MAHABANK,Bank of Maharashtra
223,VINATIORGA,Vinati Organics Limited
224,SUNDRMFAST,Sundram Fasteners Limited
225,PFIZER,Pfizer Limited
226,HATSUN,Hatsun Agro Product Limited
227,POLICYBZR,PB Fintech Limited
228,LAURUSLABS,Laurus Labs Limited
229,NAVINFLUOR,Navin Fluorine International Limited
230,PEL,Piramal Enterprises Limited
231,GRINDWELL,Grindwell Norton Limited
232,ENDURANCE,Endurance Technologies Limited
233,KPITTECH,KPIT Technologies Limited
234,SUNTV,Sun TV Network Limited
235,WHIRLPOOL,Whirlpool of India Limited
236,LALPATHLAB,Dr. Lal Path Labs Ltd.
237,EMAMILTD,Emami Limited
238,PRESTIGE,Prestige Estates Projects Limited
239,KAJARIACER,Kajaria Ceramics Limited
240,BLUEDART,Blue Dart Express Limited
241,IIFL,IIFL Finance Limited
242,TTML,Tata Teleservices (Maharashtra) Limited
243,FIVESTAR,Five-Star Business Finance Limited
244,KPRMILL,K.P.R. Mill Limited
245,FINEORG,Fine Organic Industries Limited
246,IRB,IRB Infrastructure Developers Limited
247,TRIDENT,Trident Limited
248,BDL,Bharat Dynamics Limited
249,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
250,CARBORUNIV,Carborundum Universal Limited
251,RAMCOCEM,The Ramco Cements Limited
252,GILLETTE,Gillette India Limited
253,ISEC,ICICI Securities Limited
254,MAZDOCK,Mazagon Dock Shipbuilders Limited
255,CLEAN,Clean Science and Technology Limited
256,IIFLWAM,Iifl Wealth Management Limited
257,NH,Narayana Hrudayalaya Ltd.
258,AJANTPHARM,Ajanta Pharma Limited
259,NAM-INDIA,Nippon Life India Asset Management Limited
260,EXIDEIND,Exide Industries Limited
261,APTUS,Aptus Value Housing Finance India Limited
262,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
263,GSPL,Gujarat State Petronet Limited
264,NATIONALUM,National Aluminium Company Limited
265,AAVAS,Aavas Financiers Limited
266,GODREJIND,Godrej Industries Limited
267,AFFLE,Affle (India) Limited
268,CREDITACC,CREDITACCESS GRAMEEN LIMITED
269,RVNL,Rail Vikas Nigam Limited
270,POWERINDIA,Hitachi Energy India Limited
271,REDINGTON,Redington Limited
272,DCMSHRIRAM,DCM Shriram Limited
273,BAJAJELEC,Bajaj Electricals Limited
274,KIOCL,KIOCL Limited
275,RATNAMANI,Ratnamani Metals & Tubes Limited
276,PPLPHARMA,Piramal Pharma Limited
277,ALKYLAMINE,Alkyl Amines Chemicals Limited
278,RADICO,Radico Khaitan Limited
279,RHIM,RHI MAGNESITA INDIA LIMITED
280,SANOFI,Sanofi India Limited
281,SJVN,SJVN Limited
282,CUB,City Union Bank Limited
283,ELGIEQUIP,Elgi Equipments Limited
284,INDIAMART,Indiamart Intermesh Limited
285,CGCL,Capri Global Capital Limited
286,KEI,KEI Industries Limited
287,ABSLAMC,Aditya Birla Sun Life AMC Limited
288,MAHINDCIE,Mahindra CIE Automotive Limited
289,NUVOCO,Nuvoco Vistas Corporation Limited
290,KALYANKJIL,Kalyan Jewellers India Limited
291,IDFC,IDFC Limited
292,LAXMIMACH,Lakshmi Machine Works Limited
293,HAPPSTMNDS,Happiest Minds Technologies Limited
294,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
295,ASAHIINDIA,Asahi India Glass Limited
296,KEC,KEC International Limited
297,SFL,Sheela Foam Limited
298,SUVENPHAR,Suven Pharmaceuticals Limited
299,CAMPUS,Campus Activewear Limited
300,IEX,Indian Energy Exchange Limited
301,MEDANTA,Global Health Limited
302,JSL,Jindal Stainless Limited
303,KIMS,Krishna Institute of Medical Sciences Limited
304,RENUKA,Shree Renuka Sugars Limited
305,BASF,BASF India Limited
306,AEGISCHEM,Aegis Logistics Limited
307,CASTROLIND,Castrol India Limited
308,GLENMARK,Glenmark Pharmaceuticals Limited
309,NLCINDIA,NLC India Limited
310,CDSL,Central Depository Services (India) Limited
311,FINPIPE,Finolex Industries Limited
312,BLUESTARCO,Blue Star Limited
313,ASTERDM,Aster DM Healthcare Limited
314,CENTURYPLY,Century Plyboards (India) Limited
315,VGUARD,V-Guard Industries Limited
316,APLLTD,Alembic Pharmaceuticals Limited
317,TTKPRESTIG,TTK Prestige Limited
318,EIHOTEL,EIH Limited
319,GRINFRA,G R Infraprojects Limited
320,ANGELONE,Angel One Limited
321,UTIAMC,UTI Asset Management Company Limited
322,CAMS,Computer Age Management Services Limited
323,BIKAJI,Bikaji Foods International Limited
324,RBLBANK,RBL Bank Limited
325,BRIGADE,Brigade Enterprises Limited
326,TATAINVEST,Tata Investment Corporation Limited
327,SUZLON,Suzlon Energy Limited
328,HINDCOPPER,Hindustan Copper Limited
329,PVR,PVR Limited
330,AETHER,Aether Industries Limited
331,HUDCO,Housing & Urban Development Corporation Limited
332,JSLHISAR,Jindal Stainless (Hisar) Limited
333,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
334,GODFRYPHLP,Godfrey Phillips India Limited
