,Symbol,Company Name
646,IPL,India Pesticides Limited
647,NAVNETEDUL,Navneet Education Limited
648,MOL,Meghmani Organics Limited
649,NILKAMAL,Nilkamal Limited
650,VOLTAMP,Voltamp Transformers Limited
651,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
652,FCL,Fineotex Chemical Limited
653,SULA,Sula Vineyards Limited
654,MANINFRA,Man Infraconstruction Limited
655,SUDARSCHEM,Sudarshan Chemical Industries Limited
656,TASTYBITE,Tasty Bite Eatables Limited
657,VENKEYS,Venky's (India) Limited
658,TWL,Titagarh Wagons Limited
659,GABRIEL,Gabriel India Limited
660,JAICORPLTD,Jai Corp Limited
661,SURYAROSNI,Surya Roshni Limited
662,ICIL,Indo Count Industries Limited
663,SHANTIGEAR,Shanthi Gears Limited
664,OPTIEMUS,Optiemus Infracom Limited
665,EVEREADY,Eveready Industries India Limited
666,UNIPARTS,Uniparts India Limited
667,GRMOVER,GRM Overseas Limited
668,KIRLOSBROS,Kirloskar Brothers Limited
669,SHRIPISTON,Shriram Pistons & Rings Limited
670,TATAMETALI,Tata Metaliks Limited
671,PSPPROJECT,PSP Projects Limited
672,ORIENTCEM,Orient Cement Limited
673,NEWGEN,Newgen Software Technologies Limited
674,ASHOKA,Ashoka Buildcon Limited
675,CAMLINFINE,Camlin Fine Sciences Limited
676,DHANI,Dhani Services Limited
677,WELENT,Welspun Enterprises Limited
678,SSWL,Steel Strips Wheels Limited
679,CHOICEIN,Choice International Limited
680,ASTRAMICRO,Astra Microwave Products Limited
681,EMUDHRA,eMudhra Limited
682,BECTORFOOD,Mrs. Bectors Food Specialities Limited
683,SIYSIL,Siyaram Silk Mills Limited
684,JPASSOCIAT,Jaiprakash Associates Limited
685,BAJAJCON,Bajaj Consumer Care Limited
686,KIRIINDUS,Kiri Industries Limited
687,JAYNECOIND,Jayaswal Neco Industries Limited
688,GLOBUSSPR,Globus Spirits Limited
689,APCOTEXIND,Apcotex Industries Limited
690,SHILPAMED,Shilpa Medicare Limited
691,PGEL,PG Electroplast Limited
692,PTC,PTC India Limited
693,MBAPL,Madhya Bharat Agro Products Limited
694,DOLLAR,Dollar Industries Limited
695,BSHSL,Bombay Super Hybrid Seeds Limited
696,ETHOSLTD,Ethos Limited
697,INDIAGLYCO,India Glycols Limited
698,TVSSRICHAK,TVS Srichakra Limited
699,MARKSANS,Marksans Pharma Limited
700,PARAS,Paras Defence and Space Technologies Limited
701,SBCL,Shivalik Bimetal Controls Limited
702,ARVIND,Arvind Limited
703,PRICOLLTD,Pricol Limited
704,DFMFOODS,DFM Foods Limited
705,JMCPROJECT,JMC Projects (India)  Limited
706,TIPSINDLTD,TIPS Industries Limited
707,ELECTCAST,Electrosteel Castings Limited
708,FIEMIND,Fiem Industries Limited
709,HONDAPOWER,Honda India Power Products Limited
710,SEAMECLTD,Seamec Limited
711,BBOX,Black Box Limited
712,RUPA,Rupa & Company Limited
713,NDTV,New Delhi Television Limited
714,UNICHEMLAB,Unichem Laboratories Limited
715,TIIL,Technocraft Industries (India) Limited
716,PFOCUS,Prime Focus Limited
717,CONFIPET,Confidence Petroleum India Limited
718,GOKEX,Gokaldas Exports Limited
719,INSECTICID,Insecticides (India) Limited
720,MAXVIL,Max Ventures and Industries Limited
721,BAJAJHIND,Bajaj Hindusthan Sugar Limited
722,GUFICBIO,Gufic Biosciences Limited
723,SHARDAMOTR,Sharda Motor Industries Limited
724,CARTRADE,Cartrade Tech Limited
725,IOLCP,IOL Chemicals and Pharmaceuticals Limited
726,DBCORP,D.B.Corp Limited
727,SEQUENT,Sequent Scientific Limited
728,PURVA,Puravankara Limited
729,GENUSPOWER,Genus Power Infrastructures Limited
730,DCXINDIA,DCX Systems Limited
731,ACCELYA,Accelya Solutions India Limited
732,LGBBROSLTD,LG Balakrishnan & Bros Limited
733,NEULANDLAB,Neuland Laboratories Limited
734,BALMLAWRIE,Balmer Lawrie & Company Limited
735,DIAMONDYD,Prataap Snacks Limited
736,RTNPOWER,RattanIndia Power Limited
737,PILANIINVS,Pilani Investment and Industries Corporation Limited
738,KOLTEPATIL,Kolte - Patil Developers Limited
739,AGI,AGI Greenpac Limited
740,FINOPB,Fino Payments Bank Limited
741,PANAMAPET,Panama Petrochem Limited
742,SUNDARMHLD,Sundaram Finance Holdings Limited
743,COSMOFIRST,COSMO FIRST LIMITED
744,SOTL,Savita Oil Technologies Limited
745,AMRUTANJAN,Amrutanjan Health Care Limited
746,GULFOILLUB,Gulf Oil Lubricants India Limited
747,NACLIND,NACL Industries Limited
748,TIRUMALCHM,Thirumalai Chemicals Limited
749,MSTCLTD,Mstc Limited
750,JKIL,J.Kumar Infraprojects Limited
751,ITDCEM,ITD Cementation India Limited
752,ATFL,Agro Tech Foods Limited
753,FILATEX,Filatex India Limited
754,WABAG,VA Tech Wabag Limited
755,APOLLOPIPE,Apollo Pipes Limited
756,TIMETECHNO,Time Technoplast Limited
757,JISLJALEQS,Jain Irrigation Systems Limited
758,SUNFLAG,Sunflag Iron And Steel Company Limited
759,GANECOS,Ganesha Ecosphere Limited
760,SOMANYCERA,Somany Ceramics Limited
761,HERANBA,Heranba Industries Limited
762,MMFL,MM Forgings Limited
763,DWARKESH,Dwarikesh Sugar Industries Limited
764,RAMKY,Ramky Infrastructure Limited
765,MUKANDLTD,Mukand Limited
766,SHK,S H Kelkar and Company Limited
767,HIL,HIL Limited
768,IIFLSEC,IIFL Securities Limited
769,SUBROS,Subros Limited
770,RILINFRA,Rachana Infrastructure Limited
771,CANTABIL,Cantabil Retail India Limited
772,MOREPENLAB,Morepen Laboratories Limited
773,WONDERLA,Wonderla Holidays Limited
774,INDOSTAR,IndoStar Capital Finance Limited
775,JAGRAN,Jagran Prakashan Limited
776,STYLAMIND,Stylam Industries Limited
777,SUBEXLTD,Subex Limited
778,DREAMFOLKS,Dreamfolks Services Limited
779,VSTTILLERS,V.S.T Tillers Tractors Limited
780,VINDHYATEL,Vindhya Telelinks Limited
781,SUPRIYA,Supriya Lifescience Limited
782,KIRLOSIND,Kirloskar Industries Limited
783,VADILALIND,Vadilal Industries Limited
784,TI,Tilaknagar Industries Limited
785,SWARAJENG,Swaraj Engines Limited
786,GATI,GATI Limited
787,KESORAMIND,Kesoram Industries Limited
788,TDPOWERSYS,TD Power Systems Limited
789,SIRCA,Sirca Paints India Limited
790,LANDMARK,Landmark Cars Limited
791,ALEMBICLTD,Alembic Limited
792,TEXRAIL,Texmaco Rail & Engineering Limited
793,HINDOILEXP,Hindustan Oil Exploration Company Limited
794,GOCLCORP,GOCL Corporation Limited
795,MAYURUNIQ,Mayur Uniquoters Ltd
796,ANDHRSUGAR,The Andhra Sugars Limited
797,VIDHIING,Vidhi Specialty Food Ingredients Limited
798,CARERATING,CARE Ratings Limited
799,VISHNU,Vishnu Chemicals Limited
800,GOKULAGRO,Gokul Agro Resources Limited
801,BEPL,Bhansali Engineering Polymers Limited
802,SPIC,Southern Petrochemicals Industries Corporation  Limited
803,GREENPLY,Greenply Industries Limited
804,SESHAPAPER,Seshasayee Paper and Boards Limited
805,SANGHIIND,Sanghi Industries Limited
806,FMGOETZE,Federal-Mogul Goetze (India) Limited.
807,ORISSAMINE,The Orissa Minerals Development Company Limited
808,TIDEWATER,Tide Water Oil Company (India) Limited
809,FAIRCHEMOR,Fairchem Organics Limited
810,ADFFOODS,ADF Foods Limited
811,GENESYS,Genesys International Corporation Limited
812,ANDHRAPAP,ANDHRA PAPER LIMITED
813,STOVEKRAFT,Stove Kraft Limited
814,HERITGFOOD,Heritage Foods Limited
815,DEN,Den Networks Limited
816,DHAMPURSUG,Dhampur Sugar Mills Limited
817,MTNL,Mahanagar Telephone Nigam Limited
818,BOMDYEING,Bombay Dyeing & Mfg Company Limited
819,DATAMATICS,Datamatics Global Services Limited
820,LUMAXTECH,Lumax Auto Technologies Limited
821,SALASAR,Salasar Techno Engineering Limited
822,SHALBY,Shalby Limited
823,AVTNPL,AVT Natural Products Limited
824,NELCO,NELCO Limited
825,TNPL,Tamil Nadu Newsprint & Papers Limited
826,HMT,HMT Limited
827,VALIANTORG,Valiant Organics Limited
828,ISMTLTD,ISMT Limited
829,LSIL,Lloyds Steels Industries Limited
830,IGPL,IG Petrochemicals Limited
831,LUMAXIND,Lumax Industries Limited
832,KPIGREEN,KPI Green Energy Limited
833,KSL,Kalyani Steels Limited
834,GTPL,GTPL Hathway Limited
835,KINGFA,Kingfa Science & Technology (India) Limited
836,KABRAEXTRU,Kabra Extrusion Technik Limited
837,INDORAMA,Indo Rama Synthetics (India) Limited
838,SOLARA,Solara Active Pharma Sciences Limited
839,DYNAMATECH,Dynamatic Technologies Limited
840,JSWISPL,JSW Ispat Special Products Limited
841,SPCENET,Spacenet Enterprises India Limited
842,SHANKARA,Shankara Building Products Limited
843,GRWRHITECH,Garware Hi-Tech Films Limited
844,IMAGICAA,Imagicaaworld Entertainment Limited
845,HESTERBIO,Hester Biosciences Limited
846,GTLINFRA,GTL Infrastructure Limited
847,VERANDA,Veranda Learning Solutions Limited
848,DCW,DCW Limited
849,HUHTAMAKI,Huhtamaki India Limited
850,THANGAMAYL,Thangamayil Jewellery Limited
851,SJS,S.J.S. Enterprises Limited
852,GALLANTT,Gallantt Ispat Limited
853,SUVEN,Suven Life Sciences Limited
854,DCAL,Dishman Carbogen Amcis Limited
855,ORCHPHARMA,Orchid Pharma Limited
856,WENDT,Wendt (India) Limited
857,NRBBEARING,NRB Bearing Limited
858,GOLDIAM,Goldiam International Limited
859,KCP,KCP Limited
860,ZENTEC,Zen Technologies Limited
861,ARVSMART,Arvind SmartSpaces Limited
862,TVTODAY,TV Today Network Limited
863,BFUTILITIE,BF Utilities Limited
864,SHAILY,Shaily Engineering Plastics Limited
865,VENUSPIPES,Venus Pipes & Tubes Limited
866,KRSNAA,Krsnaa Diagnostics Limited
867,GNA,GNA Axles Limited
868,REPCOHOME,Repco Home Finance Limited
869,CIGNITITEC,Cigniti Technologies Limited
870,EXCELINDUS,Excel Industries Limited
871,MONTECARLO,Monte Carlo Fashions Limited
872,BANCOINDIA,Banco Products (I) Limited
873,ALICON,Alicon Castalloy Limited
874,RIIL,Reliance Industrial Infrastructure Limited
875,IMFA,Indian Metals & Ferro Alloys Limited
876,TTKHLTCARE,TTK Healthcare Limited
877,MPSLTD,MPS Limited
878,OAL,Oriental Aromatics Limited
879,SANGHVIMOV,Sanghvi Movers Limited
880,MANALIPETC,Manali Petrochemicals Limited
881,RPGLIFE,RPG Life Sciences Limited
882,ASHIANA,Ashiana Housing Limited
883,INOXGREEN,Inox Green Energy Services Limited
884,RAMASTEEL,Rama Steel Tubes Limited
885,GMRP&UI,GMR Power and Urban Infra Limited
886,TCPLPACK,TCPL Packaging Limited
887,RAMCOIND,Ramco Industries Limited
888,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
889,WHEELS,Wheels India Limited
890,BBL,Bharat Bijlee Limited
891,SEPC,SEPC Limited
892,INEOSSTYRO,INEOS Styrolution India Limited
893,SASKEN,Sasken Technologies Limited
894,APTECHT,Aptech Limited
895,SANDHAR,Sandhar Technologies Limited
896,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
897,OMAXE,Omaxe Limited
898,DBOL,Dhampur Bio Organics Limited
899,KDDL,KDDL Limited
900,RPSGVENT,RPSG VENTURES LIMITED
901,SATIA,Satia Industries Limited
902,GULPOLY,Gulshan Polyols Limited
903,ORIENTHOT,Oriental Hotels Limited
904,MATRIMONY,Matrimony.Com Limited
905,SKIPPER,Skipper Limited
906,SAKSOFT,Saksoft Limited
907,SURYODAY,Suryoday Small Finance Bank Limited
908,TAJGVK,Taj GVK Hotels & Resorts Limited
909,RANEHOLDIN,Rane Holdings Limited
910,EIHAHOTELS,EIH Associated Hotels Limited
911,KITEX,Kitex Garments Limited
912,INFOBEAN,InfoBeans Technologies Limited
913,DPSCLTD,DPSC Limited
914,KUANTUM,Kuantum Papers Limited
915,KRISHANA,Krishana Phoschem Limited
916,SHRIRAMPPS,Shriram Properties Limited
917,IGARASHI,Igarashi Motors India Limited
918,CARYSIL,CARYSIL LIMITED
919,MADRASFERT,Madras Fertilizers Limited
920,PRECWIRE,Precision Wires India Limited
921,GIPCL,Gujarat Industries Power Company Limited
922,THEMISMED,Themis Medicare Limited
923,TARC,TARC Limited
924,VSSL,Vardhman Special Steels Limited
925,SATIN,Satin Creditcare Network Limited
926,FOSECOIND,Foseco India Limited
927,EVERESTIND,Everest Industries Limited
928,EXPLEOSOL,Expleo Solutions Limited
929,BAJAJHCARE,Bajaj Healthcare Limited
930,ARMANFIN,Arman Financial Services Limited
931,MANORAMA,Manorama Industries Limited
932,STEELXIND,STEEL EXCHANGE INDIA LIMITED
933,THEJO,Thejo Engineering Limited
934,PARAGMILK,Parag Milk Foods Limited
935,XPROINDIA,Xpro India Limited
936,POKARNA,Pokarna Limited
937,PIXTRANS,Pix Transmissions Limited
938,ROSSELLIND,Rossell India Limited
939,NSIL,Nalwa Sons Investments Limited
940,UGARSUGAR,The Ugar Sugar Works Limited
941,ADORWELD,Ador Welding Limited
942,PNBGILTS,PNB Gilts Limited
943,GICHSGFIN,GIC Housing Finance Limited
944,GMBREW,GM Breweries Limited
945,NITINSPIN,Nitin Spinners Limited
946,AXISCADES,AXISCADES Technologies Limited
947,EKC,Everest Kanto Cylinder Limited
948,GEOJITFSL,Geojit Financial Services Limited
949,ELIN,Elin Electronics Limited
950,RICOAUTO,Rico Auto Industries Limited
951,SHIVALIK,Shivalik Rasayan Limited
952,BFINVEST,BF Investment Limited
953,AJMERA,Ajmera Realty & Infra India Limited
954,UTTAMSUGAR,Uttam Sugar Mills Limited
955,AVADHSUGAR,Avadh Sugar & Energy Limited
956,SANGAMIND,Sangam (India) Limited
957,CHEMCON,Chemcon Speciality Chemicals Limited
958,ESTER,Ester Industries Limited
959,DREDGECORP,Dredging Corporation of India Limited
960,SPECIALITY,Speciality Restaurants Limited
961,MONARCH,Monarch Networth Capital Limited
962,UGROCAP,Ugro Capital Limited
963,MARATHON,Marathon Nextgen Realty Limited
964,CENTRUM,Centrum Capital Limited
965,MEDICAMEQ,Medicamen Biotech Limited
966,IWEL,Inox Wind Energy Limited
967,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
968,CAPACITE,Capacit'e Infraprojects Limited
969,PITTIENG,Pitti Engineering Limited
970,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
971,PFS,PTC India Financial Services Limited
972,NUCLEUS,Nucleus Software Exports Limited
973,BIGBLOC,Bigbloc Construction Limited
974,ARTEMISMED,Artemis Medicare Services Limited
975,SUTLEJTEX,Sutlej Textiles and Industries Limited
976,NAHARSPING,Nahar Spinning Mills Limited
977,COFFEEDAY,Coffee Day Enterprises Limited
978,HITECH,Hi-Tech Pipes Limited
979,GOODLUCK,Goodluck India Limited
980,CLOUD,Varanium Cloud Limited
981,JASH,Jash Engineering Limited
982,BODALCHEM,Bodal Chemicals Limited
983,SMLISUZU,SML Isuzu Limited
984,AXITA,Axita Cotton Limited
985,PRAKASH,Prakash Industries Limited
986,PATELENG,Patel Engineering Limited
987,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
988,STERTOOLS,Sterling Tools Limited
989,VIMTALABS,Vimta Labs Limited
990,KAMDHENU,Kamdhenu Limited
991,ONMOBILE,OnMobile Global Limited
992,AHL,Abans Holdings Limited
993,UNIVCABLES,Universal Cables Limited
994,NAVKARCORP,Navkar Corporation Limited
995,NGLFINE,NGL Fine-Chem Limited
996,SHALPAINTS,Shalimar Paints Limited
997,IFGLEXPOR,IFGL Refractories Limited
998,5PAISA,5Paisa Capital Limited
999,PRECAM,Precision Camshafts Limited
1000,SPORTKING,Sportking India Limited
1001,GEPIL,GE Power India Limited
1002,MKPL,M K Proteins Limited
1003,SANDESH,The Sandesh Limited
1004,VHL,Vardhman Holdings Limited
1005,ZEEMEDIA,Zee Media Corporation Limited
1006,QUICKHEAL,Quick Heal Technologies Limited
1007,RGL,Renaissance Global Limited
1008,CENTUM,Centum Electronics Limited
1009,STEELCAS,Steelcast Limited
1010,ARIHANTSUP,Arihant Superstructures Limited
1011,UNIENTER,Uniphos Enterprises Limited
1012,HARIOMPIPE,Hariom Pipe Industries Limited
1013,CENTENKA,Century Enka Limited
1014,VINYLINDIA,Vinyl Chemicals (India) Limited
1015,IMPAL,India Motor Parts and Accessories Limited
1016,INDNIPPON,India Nippon Electricals Limited
1017,DEEPINDS,Deep Industries Limited
1018,AGARIND,Agarwal Industrial Corporation Limited
1019,GANESHBE,Ganesh Benzoplast Limited
1020,SASTASUNDR,Sastasundar Ventures Limited
1021,LIKHITHA,Likhitha Infrastructure Limited
1022,PGIL,Pearl Global Industries Limited
1023,RUSHIL,Rushil Decor Limited
1024,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1025,HEXATRADEX,Hexa Tradex Limited
1026,ORIENTPPR,Orient Paper & Industries Limited
1027,ASHAPURMIN,Ashapura Minechem Limited
1028,PANACEABIO,Panacea Biotec Limited
1029,RSWM,RSWM Limited
1030,AWHCL,Antony Waste Handling Cell Limited
1031,RADIOCITY,Music Broadcast Limited
1032,NELCAST,Nelcast Limited
1033,EMAMIPAP,Emami Paper Mills Limited
1034,AMBIKCO,Ambika Cotton Mills Limited
1035,ANUP,The Anup Engineering Limited
1036,KOKUYOCMLN,Kokuyo Camlin Limited
1037,JINDRILL,Jindal Drilling And Industries Limited
1038,SDBL,Som Distilleries & Breweries Limited
1039,SPAL,S. P. Apparels Limited
1040,CLNINDIA,Clariant Chemicals (India) Limited
1041,DVL,Dhunseri Ventures Limited
1042,SIGACHI,Sigachi Industries Limited
1043,SYNCOMF,Syncom Formulations (India) Limited
1044,KICL,Kalyani Investment Company Limited
1045,MANGLMCEM,Mangalam Cement Limited
1046,TNPETRO,Tamilnadu PetroProducts Limited
1047,JYOTISTRUC,Jyoti Structures Limited
1048,HIMATSEIDE,Himatsingka Seide Limited
1049,GREENPOWER,Orient Green Power Company Limited
1050,JETAIRWAYS,Jet Airways (India) Limited
1051,SMCGLOBAL,SMC Global Securities Limited
1052,TRACXN,Tracxn Technologies Limited
1053,NCLIND,NCL Industries Limited
1054,JAIBALAJI,Jai Balaji Industries Limited
1055,APCL,Anjani Portland Cement Limited
1056,DLINKINDIA,D-Link (India) Limited
1057,AURIONPRO,Aurionpro Solutions Limited
1058,RAMCOSYS,Ramco Systems Limited
1059,HLVLTD,HLV LIMITED
1060,ALLSEC,Allsec Technologies Limited
1061,OCCL,Oriental Carbon & Chemicals Limited
1062,AGSTRA,AGS Transact Technologies Limited
1063,63MOONS,63 moons technologies limited
1064,ASALCBR,Associated Alcohols & Breweries Ltd.
1065,BCLIND,Bcl Industries Limited
1066,APEX,Apex Frozen Foods Limited
1067,ORIENTBELL,Orient Bell Limited
1068,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1069,ZOTA,Zota Health Care LImited
1070,PENIND,Pennar Industries Limited
1071,SATINDLTD,Sat Industries Limited
1072,INDRAMEDCO,Indraprastha Medical Corporation Limited
1073,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
1074,BLISSGVS,Bliss GVS Pharma Limited
1075,INDIANHUME,Indian Hume Pipe Company Limited
1076,SHAKTIPUMP,Shakti Pumps (India) Limited
1077,XCHANGING,Xchanging Solutions Limited
1078,VISAKAIND,Visaka Industries Limited
1079,TFCILTD,Tourism Finance Corporation of India Limited
1080,TRIL,Transformers And Rectifiers (India) Limited
1081,RAMRAT,Ram Ratna Wires Limited
1082,ENIL,Entertainment Network (India) Limited
1083,VASCONEQ,Vascon Engineers Limited
1084,BLKASHYAP,B. L. Kashyap and Sons Limited
1085,ROTO,Roto Pumps Limited
1086,KOPRAN,Kopran Limited
1087,GFLLIMITED,GFL Limited
1088,RAJMET,Rajnandini Metal Limited
1089,ROHLTD,Royal Orchid Hotels Limited
1090,LINCOLN,Lincoln Pharmaceuticals Limited
1091,BHAGERIA,Bhageria Industries Limited
1092,CREATIVE,Creative Newtech Limited
1093,JAYBARMARU,Jay Bharat Maruti Limited
1094,TALBROAUTO,Talbros Automotive Components Limited
1095,SMSPHARMA,SMS Pharmaceuticals Limited
1096,CHEVIOT,Cheviot Company Limited
1097,KANORICHEM,Kanoria Chemicals & Industries Limited
1098,DECCANCE,Deccan Cements Limited
1099,FAZE3Q,Faze Three Limited
1100,ZUARI,Zuari Agro Chemicals Limited
1101,3IINFOLTD,3i Infotech Limited
1102,HPAL,HP Adhesives Limited
1103,BETA,Beta Drugs Limited
1104,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
1105,SUMMITSEC,Summit Securities Limited
1106,HERCULES,Hercules Hoists Limited
1107,CLSEL,Chaman Lal Setia Exports Limited
1108,PARACABLES,Paramount Communications Limited
1109,DMCC,DMCC SPECIALITY CHEMICALS LIMITED
1110,ONWARDTEC,Onward Technologies Limited
1111,DHARMAJ,Dharmaj Crop Guard Limited
1112,BHARATWIRE,Bharat Wire Ropes Limited
1113,ARIHANTCAP,Arihant Capital Markets Limited
1114,RML,Rane (Madras) Limited
1115,SCPL,Sheetal Cool Products Limited
1116,RUBYMILLS,The Ruby Mills Limited
1117,GANDHITUBE,Gandhi Special Tubes Limited
1118,CONTROLPR,Control Print Limited
1119,NRL,Nupur Recyclers Limited
1120,SUKHJITS,Sukhjit Starch & Chemicals Limited
1121,SHREYAS,Shreyas Shipping & Logistics Limited
1122,NAHARPOLY,Nahar Poly Films Limited
1123,ASIANTILES,Asian Granito India Limited
1124,HPL,HPL Electric & Power Limited
1125,DPABHUSHAN,D. P. Abhushan Limited
1126,VIKASLIFE,Vikas Lifecare Limited
1127,INDOAMIN,Indo Amines Limited
1128,DCMSRIND,DCM Shriram Industries Limited
1129,SNOWMAN,Snowman Logistics Limited
1130,YUKEN,Yuken India Limited
1131,DIGISPICE,DiGiSPICE Technologies Limited
1132,ATULAUTO,Atul Auto Limited
1133,REFEX,Refex Industries Limited
1134,LINC,Linc Limited
1135,SCHAND,S Chand And Company Limited
1136,BALAXI,BALAXI PHARMACEUTICALS LIMITED
1137,APOLLO,Apollo Micro Systems Limited
1138,JUBLINDS,Jubilant Industries Limited
1139,FOODSIN,Foods & Inns Limited
1140,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
1141,SPENCERS,Spencer's Retail Limited
1142,ASAL,Automotive Stampings and Assemblies Limited
1143,ELDEHSG,Eldeco Housing And Industries Limited
1144,KELLTONTEC,Kellton Tech Solutions Limited
1145,RBL,Rane Brake Lining Limited
1146,CREST,Crest Ventures Limited
1147,DPWIRES,D P Wires Limited
1148,UNIVPHOTO,Universus Photo Imagings Limited
1149,JAYAGROGN,Jayant Agro Organics Limited
1150,NECLIFE,Nectar Lifesciences Limited
1151,WINDLAS,Windlas Biotech Limited
1152,HCL-INSYS,HCL Infosystems Limited
1153,STCINDIA,The State Trading Corporation of India Limited
1154,MENONBE,Menon Bearings Limited
1155,OSWALAGRO,Oswal Agro Mills Limited
1156,MEDICO,Medico Remedies Limited
1157,TVSELECT,TVS Electronics Limited
1158,NAHARCAP,Nahar Capital and Financial Services Limited
1159,UNIDT,United Drilling Tools Limited
1160,VLSFINANCE,VLS Finance Limited
1161,EXXARO,Exxaro Tiles Limited
1162,HARDWYN,Hardwyn India Limited
1163,TBZ,Tribhovandas Bhimji Zaveri Limited
1164,URJA,Urja Global Limited
1165,HTMEDIA,HT Media Limited
1166,SWELECTES,Swelect Energy Systems Limited
1167,IFBAGRO,IFB Agro Industries Limited
1168,KSOLVES,Ksolves India Limited
1169,DHANBANK,Dhanlaxmi Bank Limited
1170,NRAIL,N R Agarwal Industries Limited
1171,ADSL,Allied Digital Services Limited
1172,NURECA,Nureca Limited
1173,CSLFINANCE,CSL Finance Limited
1174,RAMAPHO,Rama Phosphates Limited
1175,HITECHGEAR,The Hi-Tech Gears Limited
1176,REPRO,Repro India Limited
1177,SREEL,Sreeleathers Limited
1178,MANAKSIA,Manaksia Limited
1179,BBTCL,B&B Triplewall Containers Limited
1180,MUNJALAU,Munjal Auto Industries Limited
1181,AARTISURF,Aarti Surfactants Limited
1182,GOACARBON,Goa Carbon Limited
1183,GENUSPAPER,Genus Paper & Boards Limited
1184,PROZONINTU,Prozone Intu Properties Limited
1185,INNOVANA,Innovana Thinklabs Limited
1186,KRISHIVAL,Empyrean Cashews Limited
1187,ZIMLAB,Zim Laboratories Limited
1188,GVKPIL,GVK Power & Infrastructure Limited
1189,JPOLYINVST,Jindal Poly Investment and Finance Company Limited
1190,UNITECH,Unitech Limited
1191,FCSSOFT,FCS Software Solutions Limited
1192,SHYAMCENT,Shyam Century Ferrous Limited
1193,EQUIPPP,Equippp Social Impact Technologies Limited
1194,MANINDS,Man Industries (India) Limited
1195,PLASTIBLEN,Plastiblends India Limited
1196,LIBERTSHOE,Liberty Shoes Limited
1197,CONSOFINVT,Consolidated Finvest & Holdings Limited
1198,MAGADSUGAR,Magadh Sugar & Energy Limited
1199,SHEMAROO,Shemaroo Entertainment Limited
1200,BALAJITELE,Balaji Telefilms Limited
1201,PDMJEPAPER,Pudumjee Paper Products Limited
1202,THEINVEST,The Investment Trust Of India Limited
1203,PREMEXPLN,Premier Explosives Limited
1204,DONEAR,Donear Industries Limited
1205,HINDCOMPOS,Hindustan Composites Limited
1206,DSSL,Dynacons Systems & Solutions Limited
1207,MAXIND,Max India Limited
1208,GSS,GSS Infotech Limited
1209,MUTHOOTCAP,Muthoot Capital Services Limited
1210,VARDHACRLC,Vardhman Acrylics Limited
1211,ZUARIIND,ZUARI INDUSTRIES LIMITED
1212,NAHARINDUS,Nahar Industrial Enterprises Limited
1213,MANORG,Mangalam Organics Limited
1214,MIRCELECTR,MIRC Electronics Limited
1215,SILVERTUC,Silver Touch Technologies Limited
1216,INDOBORAX,Indo Borax & Chemicals Limited
1217,ORBTEXP,Orbit Exports Limited
1218,DELPHIFX,DELPHI WORLD MONEY LIMITED
1219,KOTHARIPRO,Kothari Products Limited
1220,MALLCOM,Mallcom (India) Limited
1221,KECL,Kirloskar Electric Company Limited
1222,KHADIM,Khadim India Limited
1223,PTL,PTL Enterprises Limited
1224,DEEPENR,DEEP ENERGY RESOURCES LIMITED
1225,GLOBAL,Global Education Limited
1226,NXTDIGITAL,NXTDIGITAL LIMITED
1227,BGRENERGY,BGR Energy Systems Limited
1228,KRITI,Kriti Industries (India) Limited
1229,KAYA,Kaya Limited
1230,PONNIERODE,Ponni Sugars (Erode) Limited
1231,ORICONENT,Oricon Enterprises Limited
1232,SAKAR,Sakar Healthcare Limited
1233,DYCL,Dynamic Cables Limited
1234,PARSVNATH,Parsvnath Developers Limited
1235,IRISDOREME,Iris Clothings Limited
1236,BIRLACABLE,Birla Cable Limited
1237,INDSWFTLAB,Ind-Swift Laboratories Limited
1238,RANASUG,Rana Sugars Limited
1239,SECL,Salasar Exteriors and Contour Limited
1240,MGEL,Mangalam Global Enterprise Limited
1241,DHUNINV,Dhunseri Investments Limited
1242,HMVL,Hindustan Media Ventures Limited
1243,WEALTH,Wealth First Portfolio Managers Limited
1244,BANSWRAS,Banswara Syntex Limited
1245,KOTHARIPET,Kothari Petrochemicals Limited
1246,MUNJALSHOW,Munjal Showa Limited
1247,VIPCLOTHNG,VIP Clothing Limited
1248,SAKUMA,Sakuma Exports Limited
1249,CLEDUCATE,CL Educate Limited
1250,MOLDTECH,Mold-Tek Technologies Limited
1251,CHEMFAB,Chemfab Alkalis Limited
1252,ICEMAKE,Ice Make Refrigeration Limited
1253,NBIFIN,N. B. I. Industrial Finance Company Limited
1254,MARINE,Marine Electricals (India) Limited
1255,EIFFL,Euro India Fresh Foods Limited
1256,RITCO,Ritco Logistics Limited
1257,SALZERELEC,Salzer Electronics Limited
